
{2014-01-02}
     DadosDoDia{name='NATURA'codNegociation='NATU3-NM   R$', complany=NATU3-NM   R$, date=2014-01-09, openPrice=38.6, closePrice=38.13, percentage=0.0, minPrice=38.0, maxPrice=38.82, avgPrice=38.36, total=15684.0} 
     DadosDoDia{name='CIELO'codNegociation='CIEL3F-NM   R$', complany=CIEL3F-NM   R$, date=2014-01-09, openPrice=68.0, closePrice=65.0, percentage=0.0, minPrice=65.0, maxPrice=68.0, avgPrice=67.49, total=25.14} 
     DadosDoDia{name='LOJAS RENNER'codNegociation='LREN3-NM   R$', complany=LREN3-NM   R$, date=2014-01-09, openPrice=59.7, closePrice=58.06, percentage=0.0, minPrice=57.8, maxPrice=60.06, avgPrice=58.64, total=14784.0} 
     DadosDoDia{name='WEG'codNegociation='WEGE3-NM   R$', complany=WEGE3-NM   R$, date=2014-01-09, openPrice=29.8, closePrice=29.2, percentage=0.0, minPrice=29.1, maxPrice=29.98, avgPrice=29.43, total=6250.0} 
     DadosDoDia{name='JSL'codNegociation='JSLG3-NM   R$', complany=JSLG3-NM   R$, date=2014-01-09, openPrice=15.93, closePrice=15.71, percentage=0.0, minPrice=15.5, maxPrice=15.93, avgPrice=15.71, total=370.0} 
     DadosDoDia{name='METAL LEVE'codNegociation='LEVE3F-NM   R$', complany=LEVE3F-NM   R$, date=2014-01-09, openPrice=26.41, closePrice=26.42, percentage=0.0, minPrice=26.35, maxPrice=26.45, avgPrice=26.43, total=4.0} 
     DadosDoDia{name='WEG'codNegociation='WEGE3F-NM   R$', complany=WEGE3F-NM   R$, date=2014-01-09, openPrice=29.86, closePrice=28.52, percentage=0.0, minPrice=28.52, maxPrice=29.99, avgPrice=29.4, total=4.96} 
     DadosDoDia{name='LOJAS RENNER'codNegociation='LREN3F-NM   R$', complany=LREN3F-NM   R$, date=2014-01-09, openPrice=59.6, closePrice=57.27, percentage=0.0, minPrice=57.27, maxPrice=59.6, avgPrice=58.11, total=22.12} 
     DadosDoDia{name='GRENDENE'codNegociation='GRND3-NM   R$', complany=GRND3-NM   R$, date=2014-01-09, openPrice=18.76, closePrice=18.2, percentage=0.0, minPrice=18.02, maxPrice=18.85, avgPrice=18.3, total=5769.0} 
     DadosDoDia{name='TELEF BRASIL'codNegociation='VIVT3F-R$', complany=VIVT3F-R$, date=2014-01-09, openPrice=40.2, closePrice=40.05, percentage=0.0, minPrice=39.67, maxPrice=40.2, avgPrice=39.85, total=1.91} 
     DadosDoDia{name='ULTRAPAR'codNegociation='UGPA3F-NM   R$', complany=UGPA3F-NM   R$, date=2014-01-09, openPrice=54.5, closePrice=53.02, percentage=0.0, minPrice=53.02, maxPrice=54.65, avgPrice=53.64, total=31.16} 
     DadosDoDia{name='NATURA'codNegociation='NATU3F-NM   R$', complany=NATU3F-NM   R$, date=2014-01-09, openPrice=39.08, closePrice=38.02, percentage=0.0, minPrice=38.02, maxPrice=39.08, avgPrice=38.33, total=30.53} 
